央视频道,#genre#
海南卫视,http://171.213.146.255:9991/rtp/239.93.0.80:5140
海南卫视,http://171.213.203.64:8088/rtp/239.93.0.80:5140
山东卫视,http://118.113.146.242:8888/rtp/239.93.0.168:5140
山东卫视,http://171.213.146.255:9991/rtp/239.93.0.168:5140
山东卫视,http://171.213.203.64:8088/rtp/239.93.0.168:5140
天津卫视,http://118.113.146.242:8888/rtp/239.93.0.167:5140
天津卫视,http://171.213.146.255:9991/rtp/239.93.0.167:5140
天津卫视,http://171.213.203.64:8088/rtp/239.93.0.167:5140
重庆卫视,http://118.113.146.242:8888/rtp/239.93.1.107:5140
重庆卫视,http://171.213.146.255:9991/rtp/239.93.1.107:5140
重庆卫视,http://171.213.203.64:8088/rtp/239.93.1.107:5140
东南卫视,http://118.113.146.242:8888/rtp/239.93.0.42:5140
东南卫视,http://171.213.146.255:9991/rtp/239.93.0.42:5140
东南卫视,http://171.213.203.64:8088/rtp/239.93.0.42:5140
甘肃卫视,http://118.113.146.242:8888/rtp/239.93.0.81:5140
甘肃卫视,http://171.213.146.255:9991/rtp/239.93.0.81:5140
甘肃卫视,http://171.213.203.64:8088/rtp/239.93.0.81:5140
广西卫视,http://118.113.146.242:8888/rtp/239.93.42.46:5140
广西卫视,http://171.213.146.255:9991/rtp/239.93.42.46:5140
广西卫视,http://171.213.203.64:8088/rtp/239.93.42.46:5140
贵州卫视,http://118.113.146.242:8888/rtp/239.93.0.131:5140
贵州卫视,http://171.213.146.255:9991/rtp/239.93.0.131:5140
贵州卫视,http://171.213.203.64:8088/rtp/239.93.0.131:5140
河北卫视,http://118.113.146.242:8888/rtp/239.93.0.132:5140
河北卫视,http://171.213.146.255:9991/rtp/239.93.0.132:5140
河北卫视,http://171.213.203.64:8088/rtp/239.93.0.132:5140
黑龙江卫视,http://118.113.146.242:8888/rtp/239.93.0.183:5140
黑龙江卫视,http://171.213.146.255:9991/rtp/239.93.0.183:5140
黑龙江卫视,http://171.213.203.64:8088/rtp/239.93.0.183:5140
河南卫视,http://118.113.146.242:8888/rtp/239.93.42.45:5140
河南卫视,http://171.213.146.255:9991/rtp/239.93.42.45:5140
河南卫视,http://171.213.203.64:8088/rtp/239.93.42.45:5140
湖北卫视,http://118.113.146.242:8888/rtp/239.93.0.250:5140
湖北卫视,http://171.213.146.255:9991/rtp/239.93.0.250:5140
湖北卫视,http://171.213.203.64:8088/rtp/239.93.0.250:5140
江西卫视,http://118.113.146.242:8888/rtp/239.93.0.134:5140
江西卫视,http://171.213.146.255:9991/rtp/239.93.0.134:5140
江西卫视,http://171.213.203.64:8088/rtp/239.93.0.134:5140
吉林卫视,http://118.113.146.242:8888/rtp/239.93.0.248:5140
吉林卫视,http://171.213.146.255:9991/rtp/239.93.0.248:5140
吉林卫视,http://171.213.203.64:8088/rtp/239.93.0.248:5140
内蒙古卫视,http://118.113.146.242:8888/rtp/239.93.0.8:5140
内蒙古卫视,http://171.213.146.255:9991/rtp/239.93.0.8:5140
内蒙古卫视,http://171.213.203.64:8088/rtp/239.93.0.8:5140
宁夏卫视,http://118.113.146.242:8888/rtp/239.93.0.247:5140
宁夏卫视,http://171.213.146.255:9991/rtp/239.93.0.247:5140
宁夏卫视,http://171.213.203.64:8088/rtp/239.93.0.247:5140
山西卫视,http://118.113.146.242:8888/rtp/239.93.0.6:5140
山西卫视,http://171.213.146.255:9991/rtp/239.93.0.6:5140
山西卫视,http://171.213.203.64:8088/rtp/239.93.0.6:5140
四川卫视,http://118.113.146.242:8888/rtp/239.93.0.20:1235
四川卫视,http://171.213.146.255:9991/rtp/239.93.0.20:1235
四川卫视,http://171.213.203.64:8088/rtp/239.93.0.20:1235
新疆卫视,http://118.113.146.242:8888/rtp/239.93.0.194:5140
新疆卫视,http://171.213.146.255:9991/rtp/239.93.0.194:5140
新疆卫视,http://171.213.203.64:8088/rtp/239.93.0.194:5140
厦门卫视,http://118.113.146.242:8888/rtp/239.93.42.57:5140
厦门卫视,http://171.213.146.255:9991/rtp/239.93.42.57:5140
厦门卫视,http://171.213.203.64:8088/rtp/239.93.42.57:5140
青海卫视,http://118.113.146.242:8888/rtp/239.93.0.192:5140
青海卫视,http://171.213.146.255:9991/rtp/239.93.0.192:5140
青海卫视,http://171.213.203.64:8088/rtp/239.93.0.192:5140
西藏卫视,http://118.113.146.242:8888/rtp/239.93.0.175:5140
西藏卫视,http://171.213.146.255:9991/rtp/239.93.0.175:5140
西藏卫视,http://171.213.203.64:8088/rtp/239.93.0.175:5140
兵团卫视,http://118.113.146.242:8888/rtp/239.93.42.43:5140
兵团卫视,http://171.213.146.255:9991/rtp/239.93.42.43:5140
兵团卫视,http://171.213.203.64:8088/rtp/239.93.42.43:5140
康巴卫视,http://118.113.146.242:8888/rtp/239.93.0.41:5140
康巴卫视,http://171.213.146.255:9991/rtp/239.93.0.41:5140
康巴卫视,http://171.213.203.64:8088/rtp/239.93.0.41:5140
三沙卫视,http://118.113.146.242:8888/rtp/239.93.42.58:5140
三沙卫视,http://171.213.146.255:9991/rtp/239.93.42.58:5140
三沙卫视,http://171.213.203.64:8088/rtp/239.93.42.58:5140
卡酷动画,http://118.113.146.242:8888/rtp/239.93.0.208:5140
卡酷动画,http://171.213.146.255:9991/rtp/239.93.0.208:5140
卡酷动画,http://171.213.203.64:8088/rtp/239.93.0.208:5140
哈哈炫动,http://118.113.146.242:8888/rtp/239.93.0.173:5140
哈哈炫动,http://171.213.146.255:9991/rtp/239.93.0.173:5140
哈哈炫动,http://171.213.203.64:8088/rtp/239.93.0.173:5140
金鹰卡通,http://118.113.146.242:8888/rtp/239.93.0.108:5140
金鹰卡通,http://171.213.146.255:9991/rtp/239.93.0.108:5140
金鹰卡通,http://171.213.203.64:8088/rtp/239.93.0.108:5140
嘉佳卡通,http://118.113.146.242:8888/rtp/239.93.0.246:5140
嘉佳卡通,http://171.213.146.255:9991/rtp/239.93.0.246:5140
优漫卡通,http://118.113.146.242:8888/rtp/239.93.0.251:5140
优漫卡通,http://171.213.146.255:9991/rtp/239.93.0.251:5140
优漫卡通,http://171.213.203.64:8088/rtp/239.93.0.251:5140
数字频道,#genre#
电竞天堂,http://118.113.146.242:8888/rtp/239.93.1.135:5140
电竞天堂,http://118.113.146.242:8888/rtp/239.93.42.19:5140
电竞天堂,http://171.213.146.255:9991/rtp/239.93.1.135:5140
电竞天堂,http://171.213.146.255:9991/rtp/239.93.42.19:5140
电竞天堂,http://171.213.203.64:8088/rtp/239.93.1.135:5140
电竞天堂,http://171.213.203.64:8088/rtp/239.93.42.19:5140
生活时尚,http://118.113.146.242:8888/rtp/239.93.0.106:5140
生活时尚,http://171.213.146.255:9991/rtp/239.93.0.106:5140
生活时尚,http://171.213.203.64:8088/rtp/239.93.0.106:5140
动感音乐,http://118.113.146.242:8888/rtp/239.93.0.198:9044
动感音乐,http://171.213.146.255:9991/rtp/239.93.0.198:9044
动感音乐,http://171.213.203.64:8088/rtp/239.93.0.198:9044
财富天下,http://118.113.146.242:8888/rtp/239.93.0.116:9136
财富天下,http://171.213.146.255:9991/rtp/239.93.0.116:9136
财富天下,http://171.213.203.64:8088/rtp/239.93.0.116:9136
游戏风云,http://118.113.146.242:8888/rtp/239.93.0.136:5140
游戏风云,http://171.213.146.255:9991/rtp/239.93.0.136:5140
游戏风云,http://171.213.203.64:8088/rtp/239.93.0.136:5140
电影频道,#genre#
科幻电影,http://118.113.146.242:8888/rtp/239.93.42.10:5140
科幻电影,http://171.213.146.255:9991/rtp/239.93.42.10:5140
科幻电影,http://171.213.203.64:8088/rtp/239.93.42.10:5140
华语影院,http://118.113.146.242:8888/rtp/239.93.0.138:5140
华语影院,http://171.213.146.255:9991/rtp/239.93.0.138:5140
华语影院,http://171.213.203.64:8088/rtp/239.93.0.138:5140
经典电影,http://118.113.146.242:8888/rtp/239.93.0.57:9024
经典电影,http://171.213.146.255:9991/rtp/239.93.0.57:9024
经典电影,http://171.213.203.64:8088/rtp/239.93.0.57:9024
教育频道,#genre#
中国教育1,http://118.113.146.242:8888/rtp/239.93.1.111:5140
中国教育1,http://171.213.146.255:9991/rtp/239.93.1.111:5140
中国教育1,http://171.213.203.64:8088/rtp/239.93.1.111:5140
中国教育4,http://118.113.146.242:8888/rtp/239.93.0.50:5140
中国教育4,http://171.213.146.255:9991/rtp/239.93.0.50:5140
中国教育4,http://171.213.203.64:8088/rtp/239.93.0.50:5140
CGTN,http://118.113.146.242:8888/rtp/239.93.0.104:5140
CGTN,http://171.213.146.255:9991/rtp/239.93.0.104:5140
CGTN,http://171.213.203.64:8088/rtp/239.93.0.104:5140
CGTN法语,http://118.113.146.242:8888/rtp/239.93.42.50:5140
CGTN法语,http://171.213.146.255:9991/rtp/239.93.42.50:5140
CGTN法语,http://171.213.203.64:8088/rtp/239.93.42.50:5140
CGTN西语,http://118.113.146.242:8888/rtp/239.93.42.49:5140
CGTN西语,http://171.213.146.255:9991/rtp/239.93.42.49:5140
CGTN西语,http://171.213.203.64:8088/rtp/239.93.42.49:5140
华东地区,#genre#
东方财经,http://118.113.146.242:8888/rtp/239.93.0.249:5140
东方财经,http://171.213.146.255:9991/rtp/239.93.0.249:5140
东方财经,http://171.213.203.64:8088/rtp/239.93.0.249:5140
华北地区,#genre#
幸福剧场,http://118.113.146.242:8888/rtp/239.93.42.30:5140
幸福剧场,http://171.213.146.255:9991/rtp/239.93.42.30:5140
幸福剧场,http://171.213.203.64:8088/rtp/239.93.42.30:5140
幸福娱乐,http://118.113.146.242:8888/rtp/239.93.42.31:5140
幸福娱乐,http://171.213.146.255:9991/rtp/239.93.42.31:5140
幸福娱乐,http://171.213.203.64:8088/rtp/239.93.42.31:5140
风尚生活,http://118.113.146.242:8888/rtp/239.93.42.29:5140
风尚生活,http://171.213.146.255:9991/rtp/239.93.42.29:5140
风尚生活,http://171.213.203.64:8088/rtp/239.93.42.29:5140
每日影院,http://118.113.146.242:8888/rtp/239.93.42.35:5140
每日影院,http://171.213.146.255:9991/rtp/239.93.42.35:5140
每日影院,http://171.213.203.64:8088/rtp/239.93.42.35:5140
华中地区,#genre#
金鹰纪实,http://118.113.146.242:8888/rtp/239.93.0.130:5140
金鹰纪实,http://171.213.146.255:9991/rtp/239.93.0.130:5140
金鹰纪实,http://171.213.203.64:8088/rtp/239.93.0.130:5140
西南地区,#genre#
四川文化,http://118.113.146.242:8888/rtp/239.93.1.101:5140
四川文化,http://171.213.146.255:9991/rtp/239.93.1.101:5140
四川文化,http://171.213.203.64:8088/rtp/239.93.1.101:5140
四川经济,http://118.113.146.242:8888/rtp/239.93.1.102:5140
四川经济,http://171.213.146.255:9991/rtp/239.93.1.102:5140
四川经济,http://171.213.203.64:8088/rtp/239.93.1.102:5140
四川新闻,http://118.113.146.242:8888/rtp/239.93.0.47:5140
四川新闻,http://171.213.146.255:9991/rtp/239.93.0.47:5140
四川新闻,http://171.213.203.64:8088/rtp/239.93.0.47:5140
四川影视,http://118.113.146.242:8888/rtp/239.93.0.166:5140
四川影视,http://171.213.146.255:9991/rtp/239.93.0.166:5140
四川影视,http://171.213.203.64:8088/rtp/239.93.0.166:5140
四川科教,http://118.113.146.242:8888/rtp/239.93.42.44:5140
四川科教,http://171.213.146.255:9991/rtp/239.93.42.44:5140
四川科教,http://171.213.203.64:8088/rtp/239.93.42.44:5140
四川乡村,http://118.113.146.242:8888/rtp/239.93.0.52:5140
四川乡村,http://171.213.146.255:9991/rtp/239.93.0.52:5140
四川乡村,http://171.213.203.64:8088/rtp/239.93.0.52:5140
星空购物,http://118.113.146.242:8888/rtp/239.93.1.144:5140
星空购物,http://171.213.146.255:9991/rtp/239.93.1.144:5140
星空购物,http://171.213.203.64:8088/rtp/239.93.1.144:5140
妇女儿童,http://118.113.146.242:8888/rtp/239.93.0.219:5140
妇女儿童,http://171.213.146.255:9991/rtp/239.93.0.219:5140
妇女儿童,http://171.213.203.64:8088/rtp/239.93.0.219:5140
成都新闻,http://118.113.146.242:8888/rtp/239.93.0.16:5140
成都新闻,http://171.213.146.255:9991/rtp/239.93.0.16:5140
成都新闻,http://171.213.203.64:8088/rtp/239.93.0.16:5140
成都经济,http://118.113.146.242:8888/rtp/239.93.0.17:1239
成都经济,http://171.213.146.255:9991/rtp/239.93.0.17:1239
成都经济,http://171.213.203.64:8088/rtp/239.93.0.17:1239
成都都市,http://118.113.146.242:8888/rtp/239.93.0.18:1238
成都都市,http://171.213.146.255:9991/rtp/239.93.0.18:1238
成都都市,http://171.213.203.64:8088/rtp/239.93.0.18:1238
成都影视,http://118.113.146.242:8888/rtp/239.93.0.19:1250
成都影视,http://171.213.146.255:9991/rtp/239.93.0.19:1250
成都影视,http://171.213.203.64:8088/rtp/239.93.0.19:1250
成都公共,http://118.113.146.242:8888/rtp/239.93.1.231:5140
成都公共,http://171.213.146.255:9991/rtp/239.93.1.231:5140
成都公共,http://171.213.203.64:8088/rtp/239.93.1.231:5140
成都少儿,http://118.113.146.242:8888/rtp/239.93.0.21:1251
成都少儿,http://171.213.146.255:9991/rtp/239.93.0.21:1251
成都少儿,http://171.213.203.64:8088/rtp/239.93.0.21:1251
成都购物,http://118.113.146.242:8888/rtp/239.93.0.22:1252
成都购物,http://171.213.146.255:9991/rtp/239.93.0.22:1252
成都购物,http://171.213.203.64:8088/rtp/239.93.0.22:1252
峨眉电影,http://118.113.146.242:8888/rtp/239.93.0.252:5140
峨眉电影,http://118.113.146.242:8888/rtp/239.93.1.54:5140
峨眉电影,http://171.213.146.255:9991/rtp/239.93.0.252:5140
峨眉电影,http://171.213.146.255:9991/rtp/239.93.1.54:5140
峨眉电影,http://171.213.203.64:8088/rtp/239.93.0.252:5140
峨眉电影,http://171.213.203.64:8088/rtp/239.93.1.54:5140
熊猫新闻,http://118.113.146.242:8888/rtp/239.93.1.112:5140
熊猫新闻,http://171.213.146.255:9991/rtp/239.93.1.112:5140
熊猫新闻,http://171.213.203.64:8088/rtp/239.93.1.112:5140
熊猫体娱,http://118.113.146.242:8888/rtp/239.93.0.94:5140
熊猫体娱,http://171.213.146.255:9991/rtp/239.93.0.94:5140
熊猫体娱,http://171.213.203.64:8088/rtp/239.93.0.94:5140
熊猫少儿,http://118.113.146.242:8888/rtp/239.93.1.189:5140
熊猫少儿,http://171.213.146.255:9991/rtp/239.93.1.189:5140
熊猫少儿,http://171.213.203.64:8088/rtp/239.93.1.189:5140
熊猫影院,http://118.113.146.242:8888/rtp/239.93.0.214:5140
熊猫影院,http://171.213.146.255:9991/rtp/239.93.0.214:5140
熊猫影院,http://171.213.203.64:8088/rtp/239.93.0.214:5140
熊猫频道,http://118.113.146.242:8888/rtp/239.93.0.211:9148
熊猫频道,http://171.213.146.255:9991/rtp/239.93.0.211:9148
熊猫频道,http://171.213.203.64:8088/rtp/239.93.0.211:9148
金熊猫卡通,http://118.113.146.242:8888/rtp/239.93.1.172:5140
金熊猫卡通,http://171.213.146.255:9991/rtp/239.93.1.172:5140
金熊猫卡通,http://171.213.203.64:8088/rtp/239.93.1.172:5140
熊猫爱生活,http://118.113.146.242:8888/rtp/239.93.1.190:5140
熊猫爱生活,http://171.213.146.255:9991/rtp/239.93.1.190:5140
熊猫爱生活,http://171.213.203.64:8088/rtp/239.93.1.190:5140
大爱四川 ,http://118.113.146.242:8888/rtp/239.93.1.110:5140
大爱四川 ,http://171.213.146.255:9991/rtp/239.93.1.110:5140
大爱四川 ,http://171.213.203.64:8088/rtp/239.93.1.110:5140
大爱旅游,http://118.113.146.242:8888/rtp/239.93.42.70:5140
大爱旅游,http://171.213.146.255:9991/rtp/239.93.42.70:5140
大爱旅游,http://171.213.203.64:8088/rtp/239.93.42.70:5140
大爱生活,http://118.113.146.242:8888/rtp/239.93.1.235:5140
大爱生活,http://118.113.146.242:8888/rtp/239.93.42.71:5140
大爱生活,http://171.213.146.255:9991/rtp/239.93.1.235:5140
大爱生活,http://171.213.146.255:9991/rtp/239.93.42.71:5140
大爱生活,http://171.213.203.64:8088/rtp/239.93.1.235:5140
大爱生活,http://171.213.203.64:8088/rtp/239.93.42.71:5140
大爱时尚,http://118.113.146.242:8888/rtp/239.93.42.72:5140
大爱时尚,http://171.213.146.255:9991/rtp/239.93.42.72:5140
大爱时尚,http://171.213.203.64:8088/rtp/239.93.42.72:5140
睛彩四川,http://118.113.146.242:8888/rtp/239.93.0.126:5140
睛彩四川,http://171.213.146.255:9991/rtp/239.93.0.126:5140
睛彩四川,http://171.213.203.64:8088/rtp/239.93.0.126:5140
其他频道,#genre#
920,http://118.113.146.242:8888/rtp/239.93.1.130:5140
920,http://171.213.146.255:9991/rtp/239.93.1.130:5140
920,http://171.213.203.64:8088/rtp/239.93.1.130:5140
921,http://118.113.146.242:8888/rtp/239.93.1.131:5140
921,http://171.213.146.255:9991/rtp/239.93.1.131:5140
921,http://171.213.203.64:8088/rtp/239.93.1.131:5140
922,http://118.113.146.242:8888/rtp/239.93.1.132:5140
922,http://171.213.146.255:9991/rtp/239.93.1.132:5140
922,http://171.213.203.64:8088/rtp/239.93.1.132:5140
923,http://118.113.146.242:8888/rtp/239.93.1.133:5140
923,http://171.213.146.255:9991/rtp/239.93.1.133:5140
923,http://171.213.203.64:8088/rtp/239.93.1.133:5140
924,http://118.113.146.242:8888/rtp/239.93.1.122:5140
924,http://171.213.146.255:9991/rtp/239.93.1.122:5140
924,http://171.213.203.64:8088/rtp/239.93.1.122:5140
925,http://118.113.146.242:8888/rtp/239.93.1.123:5140
925,http://171.213.146.255:9991/rtp/239.93.1.123:5140
925,http://171.213.203.64:8088/rtp/239.93.1.123:5140
926,http://118.113.146.242:8888/rtp/239.93.1.124:5140
926,http://171.213.146.255:9991/rtp/239.93.1.124:5140
926,http://171.213.203.64:8088/rtp/239.93.1.124:5140
927,http://118.113.146.242:8888/rtp/239.93.1.125:5140
927,http://171.213.146.255:9991/rtp/239.93.1.125:5140
927,http://171.213.203.64:8088/rtp/239.93.1.125:5140
928,http://118.113.146.242:8888/rtp/239.93.1.126:5140
928,http://171.213.146.255:9991/rtp/239.93.1.126:5140
928,http://171.213.203.64:8088/rtp/239.93.1.126:5140
上海纪实,http://118.113.146.242:8888/rtp/239.93.1.137:5140
